시군명,사업장명,인허가일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,지역구분명,건물용도명
용인시,신전무대,20160525,13,영업중,,031-320-8344,,17023,경기도 용인시 처인구 포곡읍 에버랜드로 199 (삼성에버랜드),경기도 용인시 처인구 포곡읍 전대리 310 ,17023,37.28996008,127.2165862,219138.4246,420903.9648,공연장,공연장,자연녹지지역,문화시설
용인시,죽전야외음악당,20081222,13,영업중,,031-260-3385,,448812,경기도 용인시 수지구 죽전로168번길 9 (죽전동),경기도 용인시 수지구 죽전동 1340 ,448812,37.32545921,127.1264825,211156.2157,424859.3803,공연장,공연장,,
용인시,그랜드 스테이지,20030118,13,영업중,,320-9519,,449715,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 가실리 148 삼성에버랜드내 ,449715,37.28996008,127.2165862,217709.3003,421038.8934,공연장,공연장,자연녹지지역,유기장
용인시,평생학습관 큰어울마당,20040817,13,영업중,,031-323-6530,,448509,경기도 용인시 수지구 문정로7번길 15 (풍덕천동),경기도 용인시 수지구 풍덕천동 1086 ,448509,37.32054364,127.0954126,208390.4296,424286.2387,공연장,공연장,,
용인시,경기도어린이박물관 강당,20110502,13,영업중,,031-270-8613,,446905,경기도 용인시 기흥구 상갈로 6 (상갈동),경기도 용인시 기흥구 상갈동 85번지,446905,37.2679881,127.1096919,209746.8657,418831.9635,공연장,공연장,자연녹지지역,문화시설
용인시,포은아트홀,20120905,13,영업중,,031-260-3387,,448160,경기도 용인시 수지구 포은대로 499 (죽전동),경기도 용인시 수지구 죽전동 1003-237 ,448160,37.32587019,127.1059038,209386.6394,425183.0328,공연장,공연장,자연녹지지역,문화시설
용인시,문화예술원 마루홀,20051220,13,영업중,,031-323-6371,,449704,경기도 용인시 처인구 중부대로 1199 (삼가동),경기도 용인시 처인구 삼가동 556 ,449704,37.24087038,127.1779967,215680.5627,415450.5771,공연장,공연장,,
용인시,경기국악원 국악당,20040827,13,영업중,,289-6412,,446904,경기도 용인시 기흥구 민속촌로 89 (보라동),경기도 용인시 기흥구 보라동 312 ,446904,37.2594293,127.1143473,210015.6288,417446.1961,공연장,공연장,,
용인시,용인시문예회관,20030118,13,영업중,,031-323-6394,,449926,경기도 용인시 처인구 중부대로1392번길 15 (김량장동),경기도 용인시 처인구 김량장동 346 ,449926,37.23174897,127.1988572,217578.6165,414463.5361,공연장,공연장,일반주거지역,문화시설
용인시,용인어린이상상의숲 공연놀이터,20190530,13,영업중,,031-323-6493,,16997,"경기도 용인시 처인구 동백죽전대로 61, 용인시민체육공원 1층 (삼가동)",경기도 용인시 처인구 삼가동 28-6 용인시민체육공원 ,16997,37.24962344,127.1651613,214613.3981,416508.4582,공연장,공연장,,
용인시,SOUL(쏘울),20110401,13,영업중,,031-897-3222,,448812,경기도 용인시 수지구 죽전로144번길 7-5 (죽전동),경기도 용인시 수지구 죽전동 1324번지 ,448812,37.32351339,127.124099,210935.1748,424626.2328,공연장,공연장,일반주거지역,근린생활시설
용인시,경기도어린이박물관 강당,20180417,13,영업중,,031-323-6493,,17072,경기도 용인시 기흥구 상갈로 6 (상갈동),경기도 용인시 기흥구 상갈동 496 ,17072,37.26820009,127.1089114,209663.4758,418463.7639,공연장,공연장,,
용인시,여성회관 작은어울마당,20040821,3,폐업,20190723,031-324-4544,,448509,경기도 용인시 수지구 문정로7번길 15 (풍덕천동),경기도 용인시 수지구 풍덕천동 1086번지 ,448509,37.3204578,127.0954157,208390.4296,424286.2387,공연장,공연장,,
