업태,상호명,소재지(사무실),Latitude,Longitude,연락처(팩스),개폐점시간,휴점일
쇼핑센터,현대그린프라자,경기도 용인시 수지구 풍덕천로 149                       (풍덕천1동 715-2 ),37.3245908,127.0975743,031-262-4811,09:00 ~ 22:00,해당없음
쇼핑센터,골드타워모드빌,경기도 용인시 처인구 금령로 71번길 8                   (김량장동 254-51),37.2357861,127.2044402,031-339-3430,10:30 ~ 21:30,해당없음
대형마트,(주)이마트 트레이더스 구성점,경기도 용인시  기흥구 용구대로 2457                        (보정동 1019-237),37.3040078,127.1046392,031-327-1200,10:00 ~ 23:00,"둘째, 넷째 일요일"
전문점,영통프리미엄아울렛,경기도 용인시  기흥구 중부대로 64                         (영덕동 517-1),37.266751,127.076195,031-204-2006,11:00 ~ 21:30,해당없음
대형마트,(주)이마트수지점,경기도 용인시  수지구 수지로 203                           (신봉동 909),37.3196884,127.0833256,031-270-1052,10:00 ~ 23:00,"둘째, 넷째 일요일"
전문점,에프앤에프(콜렉티드),경기도 용인시 수지구 용구대로 2725                      (죽전2동 1003-175),37.3287572,127.1086154,031-266-6071,10:00 ~ 21:00,해당없음
대형마트,(주)농협유통 하나로클럽 용인점,경기도 용인시 기흥구 중부대로 682                          (상하동 351),37.2660116,127.1357885,031-289-0602,09:00 ~ 22:00,해당없음
대형마트,롯데쇼핑㈜롯데마트 수지점,경기도 용인시 기흥구 진산로 116                           (보정동 266-4),37.3207701,127.0994557,031-266-2500,10:00 ~ 23:00,"둘째, 넷째 일요일"
대형마트,(주)이마트 죽전점,경기도 용인시 수지구 포은대로 552                            (죽전동 1282),37.3252976,127.1100001,031-888-1234,10:00 ~ 23:00,"둘째, 넷째 일요일"
대형마트,(주)이마트 용인점,경기도 용인시 처인구 명지로 53                             (역북동 586-6) 외 1필지,37.2314175,127.1891473,031-326-1234,10:00 ~ 23:00,"둘째, 넷째 일요일"
전문점,죽전패션타운,경기도 용인시 수지구 용구대로 2729                      (죽전2동 1003-13)(관리사무실),37.3294281,127.1083208,031-266-0455,10:30 ~ 21:30,해당없음
대형마트,(주)이마트동백점,경기도 용인시 기흥구 동백죽전대로 444                  (중동 833),37.2779159,127.151605,031-546-1004,10:00 ~ 23:00,"둘째, 넷째 일요일"
쇼핑센터,쥬네브문월드,경기도 용인시 기흥구 동백5로 22                            (중동 838),37.275927,127.1513229,031-679-0505,10:30 ~ 22:00,해당없음
백화점,신세계백화점경기점,경기도 용인시  수지구 포은대로 536                        (죽전2동 1285/1289번지),37.3249213,127.1081315,031-695-1041,11:00 ~ 20:00,해당없음
쇼핑센터,쥬네브썬월드,경기도 용인시  기흥구 동백죽전대로 444                  (중동 833),37.2779159,127.151605,031-679-0174,10:30 ~ 22:00,해당없음
대형마트,(주)이마트보라점,경기도 용인시 기흥구 한보라1로 92                        (보라동 623-1),37.2475155,127.1050578,031-8009-1050,10:00 ~ 23:00,"둘째, 넷째 일요일"
대형마트,(주)이마트흥덕점,경기도 용인시 기흥구 흥덕중앙로 60                        (영덕동 985-3),37.2757153,127.0733398,031-8021-1051,10:00 ~ 23:00,"둘째, 넷째 일요일"
대형마트,롯데마트신갈점,경기도 용인시 기흥구 중부대로 375,37.2653654,127.1005782,031-282-1114,10:00 ~ 23:00,"둘째, 넷째 일요일"
전문점,㈜한섬,경기도 용인시 기흥구 공세로 186(공세동)            (공세동 333-10),37.2392697,127.103884,031-285-4724,10:30 ~ 20:00,해당없음
대형마트,코스트코 공세점,경기도 용인시 기흥구 탑실로 38 (공세동 734-1),37.2409748,127.1139501,031-289-5600,10:00 ~ 23:00,"둘째, 넷째 일요일"
전문점,롯데프리미엄아울렛 기흥점,경기도 용인시 기흥구 신고매로 124,37.2801554,127.114659,031-8036-3073,11:00 ~ 21:00,해당없음
쇼핑센터,ak&기흥,경기도 용인시 기흥구 기흥역로 63,37.275657,127.115944,031-5186-6500,10:30 ~ 22:00,해당없음
