,hotel_name,5_score
0,G7,5
1,G모텔,5
2,J모텔,5
3,M모텔,5
4,Q(큐)호텔,5
5,골든튤립에버용인호텔,5
6,그린장여관,10
7,금호장,5
8,낙원여인숙,5
9,남양모텔,5
10,뉴스카이,5
11,대성파크,10
12,동일여인숙,5
13,로얄파크,5
14,리츠모텔,5
15,명동여인숙,5
16,모델파크,5
17,모현모텔,5
18,민속장,5
19,블루힐,5
20,삼성모텔,10
21,선비파크,5
22,성산모텔,5
23,수산여인숙,5
24,신라파크모텔,5
25,썬스테이호텔,25
26,에버파크,10
27,에이스호텔,5
28,엘레강스모텔,5
29,온천장,5
30,와우(WOW),20
31,용인라마다호텔,5
32,용천여인숙,5
33,우리여인숙,5
34,유림장,5
35,자연파크,5
36,자주모텔,5
37,중앙모텔,5
38,창원여관,25
39,칼리야 모텔,5
40,큐 모텔,5
41,폴라리스,30
42,필모텔,30
43,헤르메스호텔,10
44,호텔스테이,5
45,호텔주노,5
