,place,도로명,위도,경도,시설구분,5_score
0,필모텔,경기도 용인시 처인구 중부대로 1412,37.2325502,127.2009862,숙박업소,30
1,폴라리스,경기도 용인시 처인구 금령로40번길 16-2 ,37.2334433,127.2003236,숙박업소,30
2,썬스테이호텔,경기도 용인시 처인구 중부대로 1399,37.23322074,127.1998321,숙박업소,25
3,창원여관,경기도 용인시 처인구 중부대로 1415 ,37.2330268,127.2015171,숙박업소,25
4,와우(WOW),경기도 용인시 처인구 중부대로 1417-1,37.2330534,127.2017876,숙박업소,20
5,처인구청,경기도 용인시 처인구 금령로 50,37.2344735,127.2014077,관공서,15
6,상현1동,경기도 용인시 수지구 상현로 71,37.3045954,127.0811366,관공서,15
7,죽전1동,경기도 용인시 수지구 대지로15번길 50,37.3309473,127.1138276,관공서,15
8,그린장여관,경기도 용인시 처인구 중부대로 1379,37.23417146,127.1979569,숙박업소,10
9,에버파크,경기도 용인시 처인구 포곡읍 전대로 88,37.2854315,127.2165624,숙박업소,10
10,삼성모텔,경기도 용인시 처인구 금령로 9,37.23493524,127.1971835,숙박업소,10
11,죽전2동,경기도 용인시 수지구 포은대로 523,37.3324967,127.1128141,관공서,10
12,수지구청,경기도 용인시 수지구 포은대로 435,37.3241541,127.0932899,관공서,10
13,헤르메스호텔,경기도 용인시 처인구 포곡읍 전대로78번길 11-12,37.28630919,127.216487,숙박업소,10
14,동천동,경기도 용인시 수지구 신수로783번길 40,37.341641,127.0989977,관공서,10
15,대성파크,경기도 용인시 처인구 포곡읍 전대로78번길 7,37.28559834,127.2170087,숙박업소,10
16,수산여인숙,경기도 용인시 처인구 금령로99번길 18-12 ,37.2371616,127.2077309,숙박업소,5
17,신라파크모텔,경기도 용인시 기흥구 중부대로 317 ,37.27092725,127.1022765,숙박업소,5
18,성산모텔,경기도 용인시 처인구 금령로107번길 16,37.23712663,127.2081707,숙박업소,5
19,에이스호텔,경기도 용인시 기흥구 신갈로 5-15,37.2685419,127.1049125,숙박업소,5
20,엘레강스모텔,경기도 용인시 기흥구 신갈로84번길 20-17 ,37.2737919,127.1083584,숙박업소,5
21,온천장,경기도 용인시 처인구 양지면 양지로 142,37.2343957,127.2839965,숙박업소,5
22,동백동,경기도 용인시 기흥구 동백중앙로 214,37.2705385,127.1563635,관공서,5
23,용인라마다호텔,경기도 용인시 처인구 포곡읍 마성로 420,37.2865127,127.2165429,숙박업소,5
24,용천여인숙,경기도 용인시 처인구 이동읍 원천로 3,37.1943356,127.2072612,숙박업소,5
25,우리여인숙,경기도 용인시 처인구 금령로107번길 15,37.23693553,127.207872,숙박업소,5
26,유림장,경기도 용인시 처인구 금령로 136-2,37.23490759,127.2112006,숙박업소,5
27,선비파크,경기도 용인시 기흥구 상갈로 13,37.26779792,127.107233,숙박업소,5
28,자주모텔,경기도 용인시 처인구 금령로107번길 15,37.23702712,127.2080245,숙박업소,5
29,중앙모텔,경기도 용인시 처인구 금령로99번길 12-5,37.23689085,127.2075966,숙박업소,5
30,칼리야 모텔,경기도 용인시 처인구 중부대로 1077,37.24360737,127.1670371,숙박업소,5
31,큐 모텔,경기도 용인시 기흥구 신갈로58번길 29-18,37.27372597,127.1090069,숙박업소,5
32,호텔스테이,경기도 용인시 처인구 금령로 142-1,37.23481058,127.2120803,숙박업소,5
33,자연파크,경기도 용인시 처인구 포곡읍 전대로78번길 14-4,37.28608641,127.2175596,숙박업소,5
34,모델파크,경기도 용인시 처인구 백옥대로 1104 ,37.2340767,127.2093179,숙박업소,5
35,블루힐,경기도 용인시 처인구 포곡읍 전대로78번길 23,37.2869629,127.2167584,숙박업소,5
36,민속장,경기도 용인시 기흥구 신갈로 2 ,37.2666582,127.1055751,숙박업소,5
37,모현읍,경기도 용인시 처인구 모현면 독점로 31-6,37.3294787,127.2422761,관공서,5
38,상현2동,경기도 용인시 수지구 만현로 48,37.3121418,127.0872845,관공서,5
39,성복동,경기도 용인시 수지구 성복1로 100,37.3164107,127.0689606,관공서,5
40,신봉동,경기도 용인시 수지구 수지로 215,37.3206332,127.0836188,관공서,5
41,풍덕천1동,경기도 용인시 수지구 수지로342번길 3,37.3278713,127.0950572,관공서,5
42,G7,경기도 용인시 처인구 포곡읍 전대로78번길 14-6,37.28609575,127.217695,숙박업소,5
43,G모텔,경기도 용인시 기흥구 신갈로58번길 29-7,37.27333733,127.1086931,숙박업소,5
44,J모텔,경기도 용인시 처인구 중부대로 1493-5,37.23375028,127.209762,숙박업소,5
45,M모텔,경기도 용인시 기흥구 신갈로58번길 29-21,37.2737918,127.1085275,숙박업소,5
46,Q(큐)호텔,경기도 용인시 처인구 포곡읍 전대로110번길 10-3,37.2868472,127.2159236,숙박업소,5
47,골든튤립에버용인호텔,경기도 용인시 처인구 포곡읍 전대로78번길 19-2,37.2869629,127.2167584,숙박업소,5
48,금호장,경기도 용인시 기흥구 금화로108번길 37,37.26976031,127.1064333,숙박업소,5
49,낙원여인숙,경기도 용인시 처인구 용문로 196-1,37.23735009,127.2074032,숙박업소,5
50,남양모텔,경기도 용인시 기흥구 중부대로 313,37.27076341,127.1018036,숙박업소,5
51,뉴스카이,경기도 용인시 처인구 백암면 고안로 50,37.1327201,127.4029399,숙박업소,5
52,동일여인숙,경기도 용인시 처인구 금령로99번길 12-5 ,37.23689085,127.2075966,숙박업소,5
53,로얄파크,경기도 용인시 처인구 중부대로 1493-7,37.23385828,127.209694,숙박업소,5
54,리츠모텔,경기도 용인시 처인구 포곡읍 전대로78번길 18-1,37.28652763,127.2173662,숙박업소,5
55,명동여인숙,경기도 용인시 처인구 포곡읍 전대로78번길 16-1 ,37.2863223,127.2172302,숙박업소,5
56,동부동,경기도 용인시 처인구 중부대로 1574,37.2327418,127.2191418,관공서,5
57,모현모텔,경기도 용인시 처인구 모현읍 백옥대로2384번길 21-27,37.33660294,127.2507631,숙박업소,5
58,호텔주노,경기도 용인시 처인구 중부대로 1081,37.24349041,127.1671165,숙박업소,5
